@                  ,@   ,quotes            ,4
@                  ,@   ,quoting           ,5
qv                 ,Uncl,%                 ,30
@                  ,@   ,q.v               ,7
@                  ,@   ,q.v.              ,23
@                  ,@   ,qv                ,0
R / r              ,Lett,:                 ,53
R                  ,NoP ,%                 ,32
@                  ,@   ,R                 ,12
@                  ,@   ,R.                ,19
rabbit             ,NoC ,%                 ,25
@                  ,@   ,rabbit            ,14
@                  ,@   ,rabbits           ,10
race               ,NoC ,%                 ,90
@                  ,@   ,race              ,74
@                  ,@   ,races             ,16
race               ,Verb,%                 ,36
@                  ,@   ,race              ,5
@                  ,@   ,raced             ,7
@                  ,@   ,races             ,1
@                  ,@   ,racing            ,23
Rachel             ,NoP ,:                 ,22
racial             ,Adj ,:                 ,14
racism             ,NoC ,%                 ,11
@                  ,@   ,racism            ,11
radiation          ,NoC ,%                 ,18
@                  ,@   ,radiation         ,17
@                  ,@   ,radiations        ,1
radical            ,Adj ,:                 ,37
radio              ,NoC ,%                 ,91
@                  ,@   ,radio             ,87
@                  ,@   ,radios            ,3
RAF                ,NoP ,%                 ,20
@                  ,@   ,R.A.F.            ,1
@                  ,@   ,RAF               ,19
rage               ,NoC ,%                 ,13
@                  ,@   ,rage              ,12
@                  ,@   ,rages             ,1
raid               ,NoC ,%                 ,21
@                  ,@   ,raid              ,13
@                  ,@   ,raids             ,8
rail               ,NoC ,%                 ,46
@                  ,@   ,rail              ,40
@                  ,@   ,rails             ,7
railway            ,NoC ,%                 ,91
@                  ,@   ,railway           ,73
@                  ,@   ,railways          ,19
rain               ,NoC ,%                 ,64
@                  ,@   ,rain              ,62
@                  ,@   ,rains             ,2
rain               ,Verb,%                 ,14
@                  ,@   ,rain              ,3
@                  ,@   ,rained            ,3
@                  ,@   ,raining           ,6
@                  ,@   ,rains             ,2
rainbow            ,NoC ,%                 ,10
@                  ,@   ,rainbow           ,9
@                  ,@   ,rainbows          ,1
raise              ,Verb,%                 ,196
@                  ,@   ,raise             ,61
@                  ,@   ,raised            ,95
@                  ,@   ,raises            ,14
@                  ,@   ,raising           ,25
rally              ,NoC ,%                 ,16
@                  ,@   ,rallies           ,3
@                  ,@   ,rally             ,13
Ralph              ,NoP ,%                 ,12
@                  ,@   ,Ralph             ,12
@                  ,@   ,Ralphs            ,0
ram                ,NoC ,%                 ,10
@                  ,@   ,ram               ,9
@                  ,@   ,rams              ,1
random             ,Adj ,:                 ,18
range              ,NoC ,%                 ,203
@                  ,@   ,range             ,196
@                  ,@   ,ranges            ,7
range              ,Verb,%                 ,34
@                  ,@   ,range             ,9
@                  ,@   ,ranged            ,7
@                  ,@   ,ranges            ,4
@                  ,@   ,ranging           ,15
ranger             ,NoC ,%                 ,14
@                  ,@   ,ranger            ,1
@                  ,@   ,rangers           ,12
rank               ,NoC ,%                 ,34
@                  ,@   ,rank              ,18
@                  ,@   ,ranks             ,16
rape               ,NoC ,%                 ,20
@                  ,@   ,rape              ,19
@                  ,@   ,rapes             ,1
rapid              ,Adj ,:                 ,36
rapidly            ,Adv ,:                 ,46
rare               ,Adj ,%                 ,50
@                  ,@   ,rare              ,46
@                  ,@   ,rarer             ,2
@                  ,@   ,rarest            ,1
rarely             ,Adv ,:                 ,42
rat                ,NoC ,%                 ,24
@                  ,@   ,rat               ,11
@                  ,@   ,rats              ,14
rate               ,NoC ,%                 ,303
@                  ,@   ,rate              ,189
@                  ,@   ,rates             ,115
rate               ,Verb,%                 ,12
@                  ,@   ,rate              ,2
@                  ,@   ,rated             ,7
@                  ,@   ,rates             ,1
@                  ,@   ,rating            ,2
rather             ,Adv ,:                 ,213
rather than        ,Conj,:                 ,46
rather than        ,Prep,:                 ,169
rating             ,NoC ,%                 ,17
@                  ,@   ,rating            ,10
@                  ,@   ,ratings           ,7
ratio              ,NoC ,%                 ,37
@                  ,@   ,ratio             ,29
@                  ,@   ,ratios            ,8
rational           ,Adj ,:                 ,23
raw                ,Adj ,%                 ,25
@                  ,@   ,raw               ,25
Ray                ,NoP ,:                 ,18
reach              ,NoC ,%                 ,16
@                  ,@   ,reach             ,13
@                  ,@   ,reaches           ,3
reach              ,Verb,%                 ,234
@                  ,@   ,reach             ,68
@                  ,@   ,reached           ,124
@                  ,@   ,reaches           ,12
@                  ,@   ,reaching          ,29
react              ,Verb,%                 ,26
@                  ,@   ,react             ,13
@                  ,@   ,reacted           ,8
@                  ,@   ,reacting          ,4
@                  ,@   ,reacts            ,2
reaction           ,NoC ,%                 ,76
@                  ,@   ,reaction          ,56
@                  ,@   ,reactions         ,21
reactor            ,NoC ,%                 ,13
@                  ,@   ,reactor           ,8
@                  ,@   ,reactors          ,5
read               ,Verb,%                 ,284
@                  ,@   ,read              ,225
@                  ,@   ,reading           ,49
@                  ,@   ,reads             ,10
reader             ,NoC ,%                 ,88
@                  ,@   ,reader            ,41
@                  ,@   ,readers           ,47
readily            ,Adv ,:                 ,28
reading            ,NoC ,%                 ,55
@                  ,@   ,reading           ,48
@                  ,@   ,readings          ,7
Reading            ,NoP ,:                 ,12
ready              ,Adj ,%                 ,102
@                  ,@   ,readier           ,0
@                  ,@   ,ready             ,102
Reagan             ,NoP ,%                 ,11
@                  ,@   ,Reagan            ,11
real               ,Adj ,%                 ,227
@                  ,@   ,real              ,227
realise            ,Verb,%                 ,98
@                  ,@   ,realise           ,39
@                  ,@   ,realised          ,49
@                  ,@   ,realises          ,3
@                  ,@   ,realising         ,7
realistic          ,Adj ,:                 ,19
reality            ,NoC ,%                 ,74
@                  ,@   ,realities         ,8
@                  ,@   ,reality           ,65
realize            ,Verb,%                 ,59
@                  ,@   ,realize           ,22
@                  ,@   ,realized          ,31
@                  ,@   ,realizes          ,1
@                  ,@   ,realizing         ,4
really             ,Adv ,:                 ,481
realm              ,NoC ,%                 ,13
@                  ,@   ,realm             ,11
@                  ,@   ,realms            ,3
rear               ,Adj ,%                 ,14
@                  ,@   ,rear              ,14
rear               ,NoC ,%                 ,12
@                  ,@   ,rear              ,11
@                  ,@   ,rears             ,0
reason             ,NoC ,%                 ,289
@                  ,@   ,reason            ,181
@                  ,@   ,reasons           ,108
reasonable         ,Adj ,:                 ,61
reasonably         ,Adv ,:                 ,31
reasoning          ,NoC ,%                 ,10
@                  ,@   ,reasoning         ,10
reassure           ,Verb,%                 ,14
@                  ,@   ,reassure          ,6
@                  ,@   ,reassured         ,5
@                  ,@   ,reassures         ,0
@                  ,@   ,reassuring        ,3
rebel              ,NoC ,%                 ,21
@                  ,@   ,rebel             ,8
@                  ,@   ,rebels            ,12
rebellion          ,NoC ,%                 ,11
@                  ,@   ,rebellion         ,10
@                  ,@   ,rebellions        ,1
rebuild            ,Verb,%                 ,13
@                  ,@   ,rebuild           ,5
@                  ,@   ,rebuilding        ,2
@                  ,@   ,rebuilds          ,0
@                  ,@   ,rebuilt           ,6
recall             ,Verb,%                 ,57
@                  ,@   ,recall            ,25
@                  ,@   ,recalled          ,18
@                  ,@   ,recalling         ,5
@                  ,@   ,recalls           ,9
receipt            ,NoC ,%                 ,19
@                  ,@   ,receipt           ,12
@                  ,@   ,receipts          ,7
receive            ,Verb,%                 ,247
@                  ,@   ,receive           ,75
@                  ,@   ,received          ,130
@                  ,@   ,receives          ,13
@                  ,@   ,receiving         ,29
receiver           ,NoC ,%                 ,20
@                  ,@   ,receiver          ,16
@                  ,@   ,receivers         ,4
recent             ,Adj ,:                 ,158
recently           ,Adv ,:                 ,123
reception          ,NoC ,%                 ,26
@                  ,@   ,reception         ,24
@                  ,@   ,receptions        ,1
recession          ,NoC ,%                 ,39
@                  ,@   ,recession         ,38
@                  ,@   ,recessions        ,1
recipe             ,NoC ,%                 ,19
@                  ,@   ,recipe            ,12
@                  ,@   ,recipes           ,7
recipient          ,NoC ,%                 ,11
@                  ,@   ,recipient         ,7
@                  ,@   ,recipients        ,5
reckon             ,Verb,%                 ,40
@                  ,@   ,reckon            ,21
@                  ,@   ,reckoned          ,10
@                  ,@   ,reckoning         ,1
@                  ,@   ,reckons           ,8
recognise          ,Verb,%                 ,93
@                  ,@   ,recognise         ,36
@                  ,@   ,recognised        ,43
@                  ,@   ,recognises        ,6
@                  ,@   ,recognising       ,8
recognition        ,NoC ,%                 ,58
@                  ,@   ,recognition       ,58
@                  ,@   ,recognitions      ,0
recognize          ,Verb,%                 ,60
@                  ,@   ,recognize         ,21
@                  ,@   ,recognized        ,30
@                  ,@   ,recognizes        ,4
@                  ,@   ,recognizing       ,5
recommend          ,Verb,%                 ,59
@                  ,@   ,recommend         ,18
@                  ,@   ,recommended       ,32
@                  ,@   ,recommending      ,4
@                  ,@   ,recommends        ,5
recommendation     ,NoC ,%                 ,40
@                  ,@   ,recommendation    ,14
@                  ,@   ,recommendations   ,26
reconstruction     ,NoC ,%                 ,12
@                  ,@   ,reconstruction    ,11
@                  ,@   ,reconstructions   ,1
record             ,NoC ,%                 ,197
@                  ,@   ,record            ,126
@                  ,@   ,records           ,71
record             ,Verb,%                 ,101
@                  ,@   ,record            ,23
@                  ,@   ,recorded          ,57
@                  ,@   ,recording         ,16
@                  ,@   ,records           ,5
recorder           ,NoC ,%                 ,12
@                  ,@   ,recorder          ,9
@                  ,@   ,recorders         ,3
recording          ,NoC ,%                 ,35
@                  ,@   ,recording         ,25
@                  ,@   ,recordings        ,11
recover            ,Verb,%                 ,51
@                  ,@   ,recover           ,20
@                  ,@   ,recovered         ,22
@                  ,@   ,recovering        ,9
@                  ,@   ,recovers          ,1
recovery           ,NoC ,%                 ,39
@                  ,@   ,recoveries        ,1
@                  ,@   ,recovery          ,38
recruit            ,Verb,%                 ,20
@                  ,@   ,recruit           ,7
@                  ,@   ,recruited         ,9
@                  ,@   ,recruiting        ,4
@                  ,@   ,recruits          ,1
recruitment        ,NoC ,%                 ,16
@                  ,@   ,recruitment       ,16
red                ,Adj ,%                 ,126
@                  ,@   ,red               ,126
@                  ,@   ,redder            ,1
red                ,NoC ,%                 ,27
@                  ,@   ,red               ,23
@                  ,@   ,reds              ,4
reduce             ,Verb,%                 ,178
@                  ,@   ,reduce            ,71
@                  ,@   ,reduced           ,66
@                  ,@   ,reduces           ,12
@                  ,@   ,reducing          ,29
reduced            ,Adj ,:                 ,14
reduction          ,NoC ,%                 ,61
@                  ,@   ,reduction         ,48
@                  ,@   ,reductions        ,13
redundancy         ,NoC ,%                 ,18
@                  ,@   ,redundancies      ,6
@                  ,@   ,redundancy        ,11
redundant          ,Adj ,:                 ,12
ref                ,NoC ,%                 ,44
@                  ,@   ,ref               ,39
@                  ,@   ,ref.              ,4
@                  ,@   ,refs              ,1
refer              ,Verb,%                 ,138
@                  ,@   ,refer             ,38
@                  ,@   ,referred          ,62
@                  ,@   ,referring         ,18
@                  ,@   ,refers            ,20
referee            ,NoC ,%                 ,14
@                  ,@   ,referee           ,11
@                  ,@   ,referees          ,3
reference          ,NoC ,%                 ,98
@                  ,@   ,reference         ,77
@                  ,@   ,references        ,20
referendum         ,NoC ,%                 ,15
@                  ,@   ,referenda         ,0
@                  ,@   ,referendum        ,14
@                  ,@   ,referendums       ,1
referral           ,NoC ,%                 ,12
@                  ,@   ,referral          ,7
@                  ,@   ,referrals         ,6
reflect            ,Verb,%                 ,113
@                  ,@   ,reflect           ,38
@                  ,@   ,reflected         ,38
@                  ,@   ,reflecting        ,15
@                  ,@   ,reflects          ,22
reflection         ,NoC ,%                 ,25
@                  ,@   ,reflection        ,20
@                  ,@   ,reflections       ,5
reform             ,NoC ,%                 ,82
@                  ,@   ,reform            ,54
@                  ,@   ,reforms           ,28
refuge             ,NoC ,%                 ,11
@                  ,@   ,refuge            ,10
@                  ,@   ,refuges           ,1
refugee            ,NoC ,%                 ,28
@                  ,@   ,refugee           ,8
@                  ,@   ,refugees          ,19
refusal            ,NoC ,%                 ,20
@                  ,@   ,refusal           ,19
@                  ,@   ,refusals          ,1
refuse             ,Verb,%                 ,106
@                  ,@   ,refuse            ,22
@                  ,@   ,refused           ,63
@                  ,@   ,refuses           ,7
@                  ,@   ,refusing          ,14
regain             ,Verb,%                 ,13
@                  ,@   ,regain            ,6
@                  ,@   ,regained          ,5
@                  ,@   ,regaining         ,2
@                  ,@   ,regains           ,0
regard             ,NoC ,:                 ,17
regard             ,Verb,%                 ,105
@                  ,@   ,regard            ,24
@                  ,@   ,regarded          ,70
@                  ,@   ,regarding         ,4
@                  ,@   ,regards           ,7
regarding          ,Prep,:                 ,20
regardless         ,Adv ,:                 ,15
regime             ,NoC ,%                 ,41
@                  ,@   ,regime            ,35
@                  ,@   ,regimes           ,6
regiment           ,NoC ,%                 ,15
@                  ,@   ,regiment          ,12
@                  ,@   ,regiments         ,3
region             ,NoC ,%                 ,141
@                  ,@   ,region            ,99
@                  ,@   ,regions           ,42
regional           ,Adj ,:                 ,78
register           ,NoC ,%                 ,27
@                  ,@   ,register          ,21
@                  ,@   ,registers         ,6
register           ,Verb,%                 ,35
@                  ,@   ,register          ,10
@                  ,@   ,registered        ,20
@                  ,@   ,registering       ,3
@                  ,@   ,registers         ,1
registered         ,Adj ,:                 ,14
registration       ,NoC ,%                 ,24
@                  ,@   ,registration      ,22
@                  ,@   ,registrations     ,1
regret             ,Verb,%                 ,18
@                  ,@   ,regret            ,10
@                  ,@   ,regrets           ,1
@                  ,@   ,regretted         ,5
@                  ,@   ,regretting        ,2
regular            ,Adj ,:                 ,75
regularly          ,Adv ,:                 ,39
regulate           ,Verb,%                 ,18
@                  ,@   ,regulate          ,6
@                  ,@   ,regulated         ,6
@                  ,@   ,regulates         ,1
@                  ,@   ,regulating        ,4
regulation         ,NoC ,%                 ,68
@                  ,@   ,regulation        ,26
@                  ,@   ,regulations       ,42
regulatory         ,Adj ,:                 ,12
rehearsal          ,NoC ,%                 ,10
@                  ,@   ,rehearsal         ,7
@                  ,@   ,rehearsals        ,4
Reid               ,NoP ,%                 ,10
@                  ,@   ,Reid              ,10
reign              ,NoC ,%                 ,18
@                  ,@   ,reign             ,18
@                  ,@   ,reigns            ,1
reinforce          ,Verb,%                 ,28
@                  ,@   ,reinforce         ,9
@                  ,@   ,reinforced        ,13
@                  ,@   ,reinforces        ,3
@                  ,@   ,reinforcing       ,3
reject             ,Verb,%                 ,64
@                  ,@   ,reject            ,15
@                  ,@   ,rejected          ,39
@                  ,@   ,rejecting         ,6
@                  ,@   ,rejects           ,4
rejection          ,NoC ,%                 ,15
@                  ,@   ,rejection         ,15
@                  ,@   ,rejections        ,0
relate             ,Verb,%                 ,134
@                  ,@   ,relate            ,26
@                  ,@   ,related           ,57
@                  ,@   ,relates           ,15
@                  ,@   ,relating          ,37
related            ,Adj ,:                 ,30
relation           ,NoC ,%                 ,140
@                  ,@   ,relation          ,28
@                  ,@   ,relations         ,112
relationship       ,NoC ,%                 ,189
@                  ,@   ,relationship      ,129
@                  ,@   ,relationships     ,60
relative           ,Adj ,:                 ,39
relative           ,NoC ,%                 ,36
@                  ,@   ,relative          ,9
@                  ,@   ,relatives         ,27
relative to        ,Prep,:                 ,10
relatively         ,Adv ,:                 ,79
relax              ,Verb,%                 ,33
@                  ,@   ,relax             ,18
@                  ,@   ,relaxed           ,11
@                  ,@   ,relaxes           ,1
@                  ,@   ,relaxing          ,3
relaxation         ,NoC ,%                 ,13
@                  ,@   ,relaxation        ,12
@                  ,@   ,relaxations       ,1
relaxed            ,Adj ,:                 ,14
release            ,NoC ,%                 ,53
@                  ,@   ,release           ,48
@                  ,@   ,releases          ,5
release            ,Verb,%                 ,79
@                  ,@   ,release           ,18
@                  ,@   ,released          ,50
@                  ,@   ,releases          ,3
@                  ,@   ,releasing         ,7
relevance          ,NoC ,%                 ,17
@                  ,@   ,relevance         ,17
relevant           ,Adj ,:                 ,79
reliable           ,Adj ,:                 ,22
relief             ,NoC ,%                 ,68
@                  ,@   ,relief            ,66
@                  ,@   ,reliefs           ,2
relieve            ,Verb,%                 ,15
@                  ,@   ,relieve           ,8
@                  ,@   ,relieved          ,5
@                  ,@   ,relieves          ,1
@                  ,@   ,relieving         ,1
relieved           ,Adj ,:                 ,12
religion           ,NoC ,%                 ,51
@                  ,@   ,religion          ,44
@                  ,@   ,religions         ,7
religious          ,Adj ,:                 ,66
reluctance         ,NoC ,:                 ,10
reluctant          ,Adj ,:                 ,20
rely               ,Verb,%                 ,54
@                  ,@   ,relied            ,13
@                  ,@   ,relies            ,6
@                  ,@   ,rely              ,27
@                  ,@   ,relying           ,7
remain             ,Verb,%                 ,268
@                  ,@   ,remain            ,90
@                  ,@   ,remained          ,91
@                  ,@   ,remaining         ,12
@                  ,@   ,remains           ,75
remainder          ,NoC ,%                 ,17
@                  ,@   ,remainder         ,17
@                  ,@   ,remainders        ,0
remaining          ,Adj ,:                 ,41
remains            ,NoC ,:                 ,15
remark             ,NoC ,%                 ,32
@                  ,@   ,remark            ,12
@                  ,@   ,remarks           ,19
remark             ,Verb,%                 ,24
@                  ,@   ,remark            ,2
@                  ,@   ,remarked          ,17
@                  ,@   ,remarking         ,1
@                  ,@   ,remarks           ,3
remarkable         ,Adj ,:                 ,35
remarkably         ,Adv ,:                 ,15
remedy             ,NoC ,%                 ,24
@                  ,@   ,remedies          ,10
@                  ,@   ,remedy            ,13
remember           ,Verb,%                 ,268
@                  ,@   ,remember          ,191
@                  ,@   ,remembered        ,54
@                  ,@   ,remembering       ,15
@                  ,@   ,remembers         ,8
remind             ,Verb,%                 ,55
@                  ,@   ,remind            ,17
@                  ,@   ,reminded          ,24
@                  ,@   ,reminding         ,6
@                  ,@   ,reminds           ,7
reminder           ,NoC ,%                 ,13
@                  ,@   ,reminder          ,10
@                  ,@   ,reminders         ,2
remote             ,Adj ,%                 ,30
@                  ,@   ,remote            ,29
@                  ,@   ,remoter           ,1
@                  ,@   ,remotest          ,1
removal            ,NoC ,%                 ,22
@                  ,@   ,removal           ,21
@                  ,@   ,removals          ,1
remove             ,Verb,%                 ,115
@                  ,@   ,remove            ,39
@                  ,@   ,removed           ,59
@                  ,@   ,removes           ,3
@                  ,@   ,removing          ,14
renaissance        ,NoC ,%                 ,11
@                  ,@   ,renaissance       ,11
render             ,Verb,%                 ,22
@                  ,@   ,render            ,7
@                  ,@   ,rendered          ,9
@                  ,@   ,rendering         ,2
@                  ,@   ,renders           ,3
renew              ,Verb,%                 ,12
@                  ,@   ,renew             ,5
@                  ,@   ,renewed           ,5
@                  ,@   ,renewing          ,2
@                  ,@   ,renews            ,0
renewal            ,NoC ,%                 ,11
@                  ,@   ,renewal           ,11
@                  ,@   ,renewals          ,0
renewed            ,Adj ,:                 ,11
rent               ,NoC ,%                 ,36
@                  ,@   ,rent              ,28
@                  ,@   ,rents             ,8
rent               ,Verb,%                 ,14
@                  ,@   ,rent              ,7
@                  ,@   ,rented            ,4
@                  ,@   ,renting           ,2
@                  ,@   ,rents             ,0
repair             ,NoC ,%                 ,26
@                  ,@   ,repair            ,15
@                  ,@   ,repairs           ,11
repair             ,Verb,%                 ,18
@                  ,@   ,repair            ,8
@                  ,@   ,repaired          ,5
@                  ,@   ,repairing         ,4
@                  ,@   ,repairs           ,1
repay              ,Verb,%                 ,11
@                  ,@   ,repaid            ,4
@                  ,@   ,repay             ,6
@                  ,@   ,repaying          ,1
@                  ,@   ,repays            ,0
repayment          ,NoC ,%                 ,11
@                  ,@   ,repayment         ,7
@                  ,@   ,repayments        ,4
repeat             ,Verb,%                 ,68
@                  ,@   ,repeat            ,27
@                  ,@   ,repeated          ,32
@                  ,@   ,repeating         ,6
@                  ,@   ,repeats           ,2
repeatedly         ,Adv ,:                 ,13
repetition         ,NoC ,%                 ,11
@                  ,@   ,repetition        ,9
@                  ,@   ,repetitions       ,1
replace            ,Verb,%                 ,111
@                  ,@   ,replace           ,34
@                  ,@   ,replaced          ,57
@                  ,@   ,replaces          ,5
@                  ,@   ,replacing         ,15
replacement        ,NoC ,%                 ,29
@                  ,@   ,replacement       ,26
@                  ,@   ,replacements      ,3
reply              ,NoC ,%                 ,36
@                  ,@   ,replies           ,6
@                  ,@   ,reply             ,30
reply              ,Verb,%                 ,75
@                  ,@   ,replied           ,56
@                  ,@   ,replies           ,3
@                  ,@   ,reply             ,13
@                  ,@   ,replying          ,3
report             ,NoC ,%                 ,325
@                  ,@   ,report            ,248
@                  ,@   ,reports           ,77
report             ,Verb,%                 ,189
@                  ,@   ,report            ,29
@                  ,@   ,reported          ,114
@                  ,@   ,reporting         ,12
@                  ,@   ,reports           ,35
reportedly         ,Adv ,:                 ,15
reporter           ,NoC ,%                 ,19
@                  ,@   ,reporter          ,12
@                  ,@   ,reporters         ,7
reporting          ,NoC ,%                 ,12
@                  ,@   ,reporting         ,12
represent          ,Verb,%                 ,155
@                  ,@   ,represent         ,46
@                  ,@   ,represented       ,54
@                  ,@   ,representing      ,23
@                  ,@   ,represents        ,33
representation     ,NoC ,%                 ,51
@                  ,@   ,representation    ,37
@                  ,@   ,representations   ,14
representative     ,Adj ,:                 ,15
representative     ,NoC ,%                 ,65
@                  ,@   ,representative    ,23
@                  ,@   ,representatives   ,43
reproduce          ,Verb,%                 ,16
@                  ,@   ,reproduce         ,6
@                  ,@   ,reproduced        ,7
@                  ,@   ,reproduces        ,1
@                  ,@   ,reproducing       ,2
reproduction       ,NoC ,%                 ,13
@                  ,@   ,reproduction      ,11
@                  ,@   ,reproductions     ,1
republic           ,NoC ,%                 ,58
@                  ,@   ,republic          ,43
@                  ,@   ,republics         ,15
republican         ,NoC ,%                 ,17
@                  ,@   ,republican        ,12
@                  ,@   ,republicans       ,5
reputation         ,NoC ,%                 ,39
@                  ,@   ,reputation        ,37
@                  ,@   ,reputations       ,2
request            ,NoC ,%                 ,51
@                  ,@   ,request           ,38
@                  ,@   ,requests          ,13
request            ,Verb,%                 ,27
@                  ,@   ,request           ,7
@                  ,@   ,requested         ,15
@                  ,@   ,requesting        ,4
@                  ,@   ,requests          ,1
require            ,Verb,%                 ,284
@                  ,@   ,require           ,69
@                  ,@   ,required          ,144
@                  ,@   ,requires          ,53
@                  ,@   ,requiring         ,18
required           ,Adj ,:                 ,20
requirement        ,NoC ,%                 ,93
@                  ,@   ,requirement       ,32
@                  ,@   ,requirements      ,60
rescue             ,NoC ,%                 ,17
@                  ,@   ,rescue            ,17
@                  ,@   ,rescues           ,0
rescue             ,Verb,%                 ,17
@                  ,@   ,rescue            ,7
@                  ,@   ,rescued           ,8
@                  ,@   ,rescues           ,1
@                  ,@   ,rescuing          ,2
research           ,NoC ,%                 ,258
@                  ,@   ,research          ,256
@                  ,@   ,researches        ,2
research           ,Verb,%                 ,20
@                  ,@   ,research          ,14
@                  ,@   ,researched        ,3
@                  ,@   ,researches        ,0
@                  ,@   ,researching       ,3
researcher         ,NoC ,%                 ,36
@                  ,@   ,researcher        ,11
@                  ,@   ,researchers       ,25
resemble           ,Verb,%                 ,18
@                  ,@   ,resemble          ,6
@                  ,@   ,resembled         ,4
@                  ,@   ,resembles         ,5
@                  ,@   ,resembling        ,4
resentment         ,NoC ,%                 ,11
@                  ,@   ,resentment        ,10
@                  ,@   ,resentments       ,1
reservation        ,NoC ,%                 ,16
@                  ,@   ,reservation       ,6
@                  ,@   ,reservations      ,10
reserve            ,NoC ,%                 ,34
@                  ,@   ,reserve           ,14
@                  ,@   ,reserves          ,20
reserve            ,Verb,%                 ,19
@                  ,@   ,reserve           ,5
@                  ,@   ,reserved          ,11
@                  ,@   ,reserves          ,2
@                  ,@   ,reserving         ,1
reservoir          ,NoC ,%                 ,11
@                  ,@   ,reservoir         ,8
@                  ,@   ,reservoirs        ,3
residence          ,NoC ,%                 ,19
@                  ,@   ,residence         ,17
@                  ,@   ,residences        ,1
resident           ,Adj ,:                 ,12
resident           ,NoC ,%                 ,44
@                  ,@   ,resident          ,9
@                  ,@   ,residents         ,35
residential        ,Adj ,:                 ,29
residue            ,NoC ,%                 ,10
@                  ,@   ,residue           ,4
@                  ,@   ,residues          ,6
resign             ,Verb,%                 ,33
@                  ,@   ,resign            ,10
@                  ,@   ,resigned          ,20
@                  ,@   ,resigning         ,2
@                  ,@   ,resigns           ,1
resignation        ,NoC ,%                 ,24
@                  ,@   ,resignation       ,22
@                  ,@   ,resignations      ,2
resist             ,Verb,%                 ,35
@                  ,@   ,resist            ,20
@                  ,@   ,resisted          ,10
@                  ,@   ,resisting         ,4
@                  ,@   ,resists           ,1
resistance         ,NoC ,%                 ,38
@                  ,@   ,resistance        ,37
@                  ,@   ,resistances       ,1
resolution         ,NoC ,%                 ,44
@                  ,@   ,resolution        ,37
@                  ,@   ,resolutions       ,7
resolve            ,Verb,%                 ,41
@                  ,@   ,resolve           ,15
@                  ,@   ,resolved          ,21
@                  ,@   ,resolves          ,1
@                  ,@   ,resolving         ,4
resort             ,NoC ,%                 ,23
@                  ,@   ,resort            ,19
@                  ,@   ,resorts           ,5
resource           ,NoC ,%                 ,128
@                  ,@   ,resource          ,22
@                  ,@   ,resources         ,105
respect            ,NoC ,%                 ,64
@                  ,@   ,respect           ,49
@                  ,@   ,respects          ,15
respect            ,Verb,%                 ,19
@                  ,@   ,respect           ,9
@                  ,@   ,respected         ,8
@                  ,@   ,respecting        ,0
@                  ,@   ,respects          ,1
respectable        ,Adj ,:                 ,12
respective         ,Adj ,:                 ,12
respectively       ,Adv ,:                 ,32
respond            ,Verb,%                 ,73
@                  ,@   ,respond           ,35
@                  ,@   ,responded         ,22
@                  ,@   ,responding        ,11
@                  ,@   ,responds          ,4
respondent         ,NoC ,%                 ,16
@                  ,@   ,respondent        ,5
@                  ,@   ,respondents       ,11
response           ,NoC ,%                 ,126
@                  ,@   ,response          ,100
@                  ,@   ,responses         ,26
responsibility     ,NoC ,%                 ,122
@                  ,@   ,responsibilities  ,29
@                  ,@   ,responsibility    ,93
responsible        ,Adj ,:                 ,94
rest               ,NoC ,%                 ,143
@                  ,@   ,rest              ,142
@                  ,@   ,rests             ,1
rest               ,Verb,%                 ,48
@                  ,@   ,rest              ,20
@                  ,@   ,rested            ,11
@                  ,@   ,resting           ,10
@                  ,@   ,rests             ,7
restaurant         ,NoC ,%                 ,51
@                  ,@   ,restaurant        ,35
@                  ,@   ,restaurants       ,16
restoration        ,NoC ,%                 ,20
@                  ,@   ,restoration       ,20
@                  ,@   ,restorations      ,1
restore            ,Verb,%                 ,40
@                  ,@   ,restore           ,17
@                  ,@   ,restored          ,18
@                  ,@   ,restores          ,1
@                  ,@   ,restoring         ,4
restraint          ,NoC ,%                 ,15
@                  ,@   ,restraint         ,11
@                  ,@   ,restraints        ,4
restrict           ,Verb,%                 ,40
@                  ,@   ,restrict          ,11
@                  ,@   ,restricted        ,21
@                  ,@   ,restricting       ,5
@                  ,@   ,restricts         ,2
restriction        ,NoC ,%                 ,40
@                  ,@   ,restriction       ,12
@                  ,@   ,restrictions      ,27
result             ,NoC ,%                 ,334
@                  ,@   ,result            ,187
@                  ,@   ,results           ,147
result             ,Verb,%                 ,88
@                  ,@   ,result            ,34
@                  ,@   ,resulted          ,29
@                  ,@   ,resulting         ,18
@                  ,@   ,results           ,7
resulting          ,Adj ,:                 ,14
resume             ,Verb,%                 ,18
@                  ,@   ,resume            ,7
@                  ,@   ,resumed           ,9
@                  ,@   ,resumes           ,1
@                  ,@   ,resuming          ,1
retail             ,Adj ,:                 ,20
retailer           ,NoC ,%                 ,14
@                  ,@   ,retailer          ,7
@                  ,@   ,retailers         ,7
retain             ,Verb,%                 ,65
@                  ,@   ,retain            ,25
@                  ,@   ,retained          ,24
@                  ,@   ,retaining         ,9
@                  ,@   ,retains           ,7
retire             ,Verb,%                 ,36
@                  ,@   ,retire            ,11
@                  ,@   ,retired           ,18
@                  ,@   ,retires           ,2
@                  ,@   ,retiring          ,4
retired            ,Adj ,:                 ,11
retirement         ,NoC ,%                 ,35
@                  ,@   ,retirement        ,34
@                  ,@   ,retirements       ,1
